name,address,website,type,location,source,combined_at,normalized_name,category,crawled_at
Học viện Dân tộc,VAEM,HVD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713061,Học viện Dân tộc,Đa ngành,
Học viện Quốc phòng,,,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713065,Học viện Quốc phòng,Đa ngành,
Trường Đại học Sĩ quan Chính trị,,LCH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713070,ĩ quan Chính trị,Đa ngành,
Học viện Chính trị Công an Nhân dân,T29/T03,HCA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713075,Học viện Chính trị Công an Nhân dân,Đa ngành,
Trường Đại học Thành Đô,TDU,TDD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713081,hành Đô,Đa ngành,
Đại học Phenikaa,PHENA,PKA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713084,henikaa,Đa ngành,
Trường Đại học Thăng Long,TLU,DTL,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713088,hăng Long,Đa ngành,
Trường Đại học Phương Đông,PDU,DPD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713092,hương Đông,Đa ngành,
Trường Đại học CMC,,MCA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713096,MC,Đa ngành,
Trường Đại học Đông Đô,HDIU,DDU,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713100,ông Đô,Đa ngành,
Trường Đại học VinUni,VINUNI,VIN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713103,inUni,Đa ngành,
Trường Đại học Công nghệ Đông Á,EAUT,DDA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713107,ông nghệ Đông Á,Đa ngành,
Trường Đại học FPT,FPTU,FPT,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713111,PT,Đa ngành,
Trường Đại học Công nghệ và Quản lý Hữu nghị,UTM,DCQ,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713114,ông nghệ và Quản lý Hữu nghị,Đa ngành,
Trường Đại học Quốc tế RMIT Việt Nam,RMIT,RMU,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713120,uốc tế RMIT Việt Nam,Đa ngành,
Trường Đại học Nguyễn Trãi,NTU,NTU,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713125,guyễn Trãi,Y tế,
Trường Đại học Hòa Bình,HBU,ETU,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713128,òa Bình,Đa ngành,
Trường Đại học Đại Nam,DNU,DDN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713132,ại Nam,Đa ngành,
Trường Đại học Tài chính - Ngân hàng Hà Nội,FBU,FBU,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713136,ài chính - Ngân hàng Hà Nội,Đa ngành,
Trường Đại học Quốc tế Bắc Hà(văn phòng tuyển sinh),BHIU,DBH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713141,uốc tế Bắc Hà(văn phòng tuyển sinh),Y tế,
Trường Đại học Kinh doanh và Công nghệ Hà Nội,HUBT,DQK,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713145,inh doanh và Công nghệ Hà Nội,Kỹ thuật,
Học viện Thiết kế và Thời trang London,,LCDF,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713147,Học viện Thiết kế và Thời trang London,Đa ngành,
Đại học Quốc gia Hà Nội,"144 Xuân Thủy, Cầu Giấy, Hà Nội",https://www.vnu.edu.vn,Đại học công lập,Hà Nội,Manual,2025-08-03T20:42:05.713153,uốc gia Hà Nội,Đa ngành,2025-08-03T20:41:22.885745
Đại học Bách khoa TP.HCM,"268 Lý Thường Kiệt, Quận 10, TP.HCM",https://www.hcmut.edu.vn,Đại học công lập,TP.HCM,Manual,2025-08-03T20:42:05.713158,ách khoa TP.HCM,Đa ngành,2025-08-03T20:41:22.885751
Đại học Quốc gia TP.HCM,"Linh Trung, Thủ Đức, TP.HCM",https://www.vnuhcm.edu.vn,Đại học công lập,TP.HCM,Manual,2025-08-03T20:42:05.713162,uốc gia TP.HCM,Đa ngành,2025-08-03T20:41:22.885755
Đại học FPT,"Lô E2a-7, Đường D1, Khu Công nghệ cao, TP.HCM",https://fpt.edu.vn,Đại học tư thục,TP.HCM,Manual,2025-08-03T20:42:05.713167,PT,Đa ngành,2025-08-03T20:41:22.885758
